Nombre;Categoría;Departamento;CantidadTotal;CantidadDisponible;NoAveriados;Falta ;Rotos;CódigoBarras;Imagen
Camaras Panasonic;Cámaras;AV;3;;3;2 tapaderas;1 tarjetero roto;;
Tripode Bresser ;Tripodes y soportes;AV;12;;8;3 sin zapata;1;;
Proyector Acer;Proyectores y pantallas;AV;2;;2;;;;
ProyectorOptoma;Proyectores y pantallas;AV;1;;1;;;;
Bateria ENG;Cargadores y Baterias;AV;8;;8;;;;
Cargador Bateria ENG doble;Cargadores y Baterias;AV;2;;2;;;;
Cable cargador ENG;Cargadores y Baterias;AV;4;;4;;;;
Bateria Luces Leds;Cargadores y Baterias;AV;4;;4;;;;
Cargador Bateria Luces Leds;Cargadores y Baterias;AV;2;;2;;;;
Focos Leds Grandes pack;Iluminación;AV;2;;2;;;;
Focos leds pequeños;Iluminación;AV;2;;2;;;;
Adaptador Hdmi-mini a Hdmi;Cables y adaptadores;AV;1;;1;;;;
Camara DSLR Canon 1300 D;Cámaras;AV;2;;2;1 tapadera;Se atasca tarjeta;;
Camara DSLR Canon 800 D;Cámaras;AV;1;;1;;;;
Camara DSLR Canon 850D ;Cámaras;AV;1;;1;1 objetivo estandar 18-55;;;
Fundas DSLR;Fundas;AV;2;;2;2;;;
Fundas ENG;Fundas;AV;2;;2;2;;;
Microfonos SENNHEISER MD 421 U4;Microfonos ;AV;3;; ; ;;;
Esponijillas Cesur;Esponijillas ;AV;3;;3; ;;;
Cable XLR;Cables y adaptadores ;AV;;;;;;;
Baterias DSLR 1300D;Cargadores y Baterias;AV;5;;5;;;;
Baterias DSLR 800D;Cargadores y Baterias ;AV;3;;;;;;
Cargador bateria DSLR 1300D;Cargadores y Baterias;AV;2;;2;;;;
Cargador bateria DSLR 800D;Cargadores y Baterias;AV;1;;1;;;;
Tarjeta 16G HC;Tarjetas;AV;1;;1;;;;
Tarjetas 32G HC;Tarjetas;AV;3;;3; ;;;
Tarjetas 64G XC;Tarjetas;AV;2;;2; ;;;
Lector tarjeta Conceptronic;Lector tarjetas;AV;5;;5;3 cables micro USB;;;
Lector-USB Vanja ;Lector tarjetas;AV;1;;1;;;;
Tripode DSLR Benro pequeño;Tripodes y soportes;AV;1;;1;;;;
Tripode DSLR Benro grande;Tripodes y soportes;AV;3;;2;Falta 1 zapata y 1 funda;;;
Dolly Sachfter;Tripodes y Soportes;AV;1;;1;;;;
Zoom H4n Pro;Grabadoras portátiles;AV;3;;3;;;;
Img Stage Line PARC 64 CTW;Iluminación;AV;2;;2;;;;
Flight Case ;Fundas;AV;2;;2;;;;
Agarre Tripode Móvil ;Tripodes y soportes;AV;1;;1;;;;
Micrófono Cámara Panasonic;Microófonos;AV;2;;2;Cable latiguillo XLR;;;
Atem Mini Pro;Realización;AV;1;;1;;;;
Capturadoras Walogy;Realización;AV;2;;2;;;;
Panasonic AJ-HPM100E ;Realización;AV;1;;?;;;;
Tripode ENG Manfrotto;Tripodes y soportes;AV;1;;1;Funda;;;
Gimbal Zhiyun Weebill;Tripodes y soportes;AV;1;;1;;;;
Tripode proyector;Tripodes y soportes;AV;1;;;;;;
Total;;;;;;;;;
